Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Collections,25,1,75%,Ekstazi+dpt,145,0.9664948453608248,7,0.03608247422680412
Collections,25,1,75%,DPT,145,0.9664948453608248,7,0.03608247422680412
Collections,25,1,75%,STARTS,145,0.4871134020618557,100,0.5154639175257731
Collections,25,1,75%,STARTS+FAST-S,145,0.40463917525773196,116,0.5979381443298969
Collections,25,1,75%,STARTS+FAST-P,145,0.40463917525773196,116,0.5979381443298969
Collections,25,1,75%,STARTS+DPT,145,0.9664948453608248,7,0.03608247422680412
Collections,25,1,75%,Fastazi-S,145,0.33247422680412375,130,0.6701030927835051
Collections,25,1,75%,Fastazi-P,145,0.30154639175257736,136,0.7010309278350515
Collections,25,1,75%,Random,145,0.5025773195876289,97,0.5
Collections,25,1,80%,Ekstazi,155,0.9768041237113402,5,0.02577319587628866
Collections,25,1,80%,FAST,155,0.0,NA,NA
Collections,25,1,80%,Ekstazi+dpt,155,0.9664948453608248,7,0.03608247422680412
Collections,25,1,80%,DPT,155,0.9664948453608248,7,0.03608247422680412
Collections,25,1,80%,STARTS,155,0.4871134020618557,100,0.5154639175257731
Collections,25,1,80%,STARTS+FAST-S,155,0.40463917525773196,116,0.5979381443298969
Collections,25,1,80%,STARTS+FAST-P,155,0.40463917525773196,116,0.5979381443298969
Collections,25,1,80%,STARTS+DPT,155,0.9664948453608248,7,0.03608247422680412
Collections,25,1,80%,Fastazi-S,155,0.33247422680412375,130,0.6701030927835051
Collections,25,1,80%,Fastazi-P,155,0.30154639175257736,136,0.7010309278350515
Collections,25,1,80%,Random,155,0.5025773195876289,97,0.5
Collections,25,1,90%,Ekstazi,157,0.9768041237113402,5,0.02577319587628866
Collections,25,1,90%,FAST,174,0.13659793814432986,168,0.865979381443299
Collections,25,1,90%,Ekstazi+dpt,157,0.9664948453608248,7,0.03608247422680412
Collections,25,1,90%,DPT,174,0.9664948453608248,7,0.03608247422680412
Collections,25,1,90%,STARTS,157,0.4871134020618557,100,0.5154639175257731
Collections,25,1,90%,STARTS+FAST-S,157,0.40463917525773196,116,0.5979381443298969
Collections,25,1,90%,STARTS+FAST-P,157,0.40463917525773196,116,0.5979381443298969
Collections,25,1,90%,STARTS+DPT,157,0.9664948453608248,7,0.03608247422680412
Collections,25,1,90%,Fastazi-S,157,0.33247422680412375,130,0.6701030927835051
Collections,25,1,90%,Fastazi-P,157,0.30154639175257736,136,0.7010309278350515
Collections,25,1,90%,Random,174,0.5025773195876289,97,0.5
Collections,25,1,100%,Ekstazi,157,0.9768041237113402,5,0.02577319587628866
Collections,25,1,100%,FAST,194,0.13659793814432986,168,0.865979381443299
Collections,25,1,100%,Ekstazi+dpt,157,0.9664948453608248,7,0.03608247422680412
Collections,25,1,100%,DPT,194,0.9664948453608248,7,0.03608247422680412
Collections,25,1,100%,STARTS,157,0.4871134020618557,100,0.5154639175257731
Collections,25,1,100%,STARTS+FAST-S,157,0.40463917525773196,116,0.5979381443298969
Collections,25,1,100%,STARTS+FAST-P,157,0.40463917525773196,116,0.5979381443298969
Collections,25,1,100%,STARTS+DPT,157,0.9664948453608248,7,0.03608247422680412
Collections,25,1,100%,Fastazi-S,157,0.33247422680412375,130,0.6701030927835051
Collections,25,1,100%,Fastazi-P,157,0.30154639175257736,136,0.7010309278350515
Collections,25,1,100%,Random,194,0.5025773195876289,97,0.5
Collections,25,2,10%,Ekstazi,19,0.0,NA,NA
Collections,25,2,10%,FAST,19,0.0,NA,NA
Collections,25,2,10%,Ekstazi+dpt,19,0.9664948453608248,7,0.03608247422680412
Collections,25,2,10%,DPT,19,0.9664948453608248,7,0.03608247422680412
Collections,25,2,10%,STARTS,19,0.0,NA,NA
Collections,25,2,10%,STARTS+FAST-S,19,0.0,NA,NA
Collections,25,2,10%,STARTS+FAST-P,19,0.0,NA,NA
Collections,25,2,10%,STARTS+DPT,19,0.9664948453608248,7,0.03608247422680412
Collections,25,2,10%,Fastazi-S,19,0.0,NA,NA
Collections,25,2,10%,Fastazi-P,19,0.0,NA,NA
Collections,25,2,10%,Random,19,0.0,NA,NA
Collections,25,2,20%,Ekstazi,38,0.0,NA,NA
Collections,25,2,20%,FAST,38,0.0,NA,NA
Collections,25,2,20%,Ekstazi+dpt,38,0.9664948453608248,7,0.03608247422680412
Collections,25,2,20%,DPT,38,0.9664948453608248,7,0.03608247422680412
Collections,25,2,20%,STARTS,38,0.8221649484536082,35,0.18041237113402062
Collections,25,2,20%,STARTS+FAST-S,38,0.0,NA,NA
Collections,25,2,20%,STARTS+FAST-P,38,0.0,NA,NA
Collections,25,2,20%,STARTS+DPT,38,0.9664948453608248,7,0.03608247422680412
Collections,25,2,20%,Fastazi-S,38,0.0,NA,NA
Collections,25,2,20%,Fastazi-P,38,0.0,NA,NA
Collections,25,2,20%,Random,38,0.0,NA,NA
Collections,25,2,25%,Ekstazi,48,0.0,NA,NA
Collections,25,2,25%,FAST,48,0.0,NA,NA
Collections,25,2,25%,Ekstazi+dpt,48,0.9664948453608248,7,0.03608247422680412
Collections,25,2,25%,DPT,48,0.9664948453608248,7,0.03608247422680412
Collections,25,2,25%,STARTS,48,0.8221649484536082,35,0.18041237113402062
Collections,25,2,25%,STARTS+FAST-S,48,0.0,NA,NA
Collections,25,2,25%,STARTS+FAST-P,48,0.0,NA,NA
Collections,25,2,25%,STARTS+DPT,48,0.9664948453608248,7,0.03608247422680412
Collections,25,2,25%,Fastazi-S,48,0.0,NA,NA
Collections,25,2,25%,Fastazi-P,48,0.0,NA,NA
Collections,25,2,25%,Random,48,0.0,NA,NA
Collections,25,2,30%,Ekstazi,58,0.0,NA,NA
