Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Lang,14,40%,Random,0.3977272727272728,35.0,0.2662878787878788,NA,NA,20,0,10
Lang,14,50%,Ekstazi,0.5,44.0,0.35833333333333334,NA,NA,16,0,14
Lang,14,50%,FAST,0.5,44.0,0.0,NA,NA,30,0,0
Lang,14,50%,Ekstazi+dpt,0.5,44.0,0.931060606060606,6.566666666666666,0.07462121212121213,0,1,30
Lang,14,50%,DPT,0.5,44.0,0.9325757575757575,6.433333333333334,0.07310606060606059,0,1,30
Lang,14,50%,STARTS,0.5,44.0,0.30511363636363636,NA,NA,17,0,13
Lang,14,50%,STARTS+FAST-S,0.5,44.0,0.0662878787878788,NA,NA,28,0,2
Lang,14,50%,STARTS+FAST-P,0.5,44.0,0.0,NA,NA,30,0,0
Lang,14,50%,STARTS+DPT,0.5,44.0,0.9318181818181818,6.5,0.07386363636363637,0,1,30
Lang,14,50%,Fastazi-S,0.5,44.0,0.0,NA,NA,30,0,0
Lang,14,50%,Fastazi-P,0.5,44.0,0.0,NA,NA,30,0,0
Lang,14,50%,Random,0.5,44.0,0.39791666666666664,NA,NA,13,0,17
Lang,14,60%,Ekstazi,0.5909090909090913,52.0,0.4181818181818181,NA,NA,12,0,18
Lang,14,60%,FAST,0.5909090909090913,52.0,0.0,NA,NA,30,0,0
Lang,14,60%,Ekstazi+dpt,0.5909090909090913,52.0,0.931060606060606,6.566666666666666,0.07462121212121213,0,1,30
Lang,14,60%,DPT,0.5909090909090913,52.0,0.9325757575757575,6.433333333333334,0.07310606060606059,0,1,30
Lang,14,60%,STARTS,0.5909090909090913,52.0,0.33541666666666664,NA,NA,15,0,15
Lang,14,60%,STARTS+FAST-S,0.5909090909090913,52.0,0.0662878787878788,NA,NA,28,0,2
Lang,14,60%,STARTS+FAST-P,0.5909090909090913,52.0,0.0,NA,NA,30,0,0
Lang,14,60%,STARTS+DPT,0.5909090909090913,52.0,0.9318181818181818,6.5,0.07386363636363637,0,1,30
Lang,14,60%,Fastazi-S,0.5909090909090913,52.0,0.0,NA,NA,30,0,0
Lang,14,60%,Fastazi-P,0.5909090909090913,52.0,0.0,NA,NA,30,0,0
Lang,14,60%,Random,0.5909090909090913,52.0,0.4301136363636363,NA,NA,11,0,19
Lang,14,70%,Ekstazi,0.6931818181818179,61.0,0.4524621212121212,NA,NA,9,0,21
Lang,14,70%,FAST,0.6931818181818179,61.0,0.0,NA,NA,30,0,0
Lang,14,70%,Ekstazi+dpt,0.6931818181818179,61.0,0.931060606060606,6.566666666666666,0.07462121212121213,0,1,30
Lang,14,70%,DPT,0.6931818181818179,61.0,0.9325757575757575,6.433333333333334,0.07310606060606059,0,1,30
Lang,14,70%,STARTS,0.6931818181818179,61.0,0.3924242424242425,NA,NA,10,0,20
Lang,14,70%,STARTS+FAST-S,0.6931818181818179,61.0,0.4181818181818182,51.7,0.5875000000000001,0,1,30
Lang,14,70%,STARTS+FAST-P,0.6931818181818179,61.0,0.37613636363636366,55.4,0.6295454545454546,0,1,30
Lang,14,70%,STARTS+DPT,0.6931818181818179,61.0,0.9318181818181818,6.5,0.07386363636363637,0,1,30
Lang,14,70%,Fastazi-S,0.6931818181818179,61.0,0.0,NA,NA,30,0,0
Lang,14,70%,Fastazi-P,0.6931818181818179,61.0,0.0,NA,NA,30,0,0
Lang,14,70%,Random,0.6931818181818179,61.0,0.4640151515151515,NA,NA,8,0,22
Lang,14,75%,Ekstazi,0.75,66.0,0.4524621212121212,NA,NA,9,0,21
Lang,14,75%,FAST,0.75,66.0,0.0,NA,NA,30,0,0
Lang,14,75%,Ekstazi+dpt,0.75,66.0,0.931060606060606,6.566666666666666,0.07462121212121213,0,1,30
Lang,14,75%,DPT,0.75,66.0,0.9325757575757575,6.433333333333334,0.07310606060606059,0,1,30
Lang,14,75%,STARTS,0.75,66.0,0.4198863636363637,NA,NA,7,0,23
Lang,14,75%,STARTS+FAST-S,0.75,66.0,0.4181818181818182,51.7,0.5875000000000001,0,1,30
Lang,14,75%,STARTS+FAST-P,0.75,66.0,0.37613636363636366,55.4,0.6295454545454546,0,1,30
Lang,14,75%,STARTS+DPT,0.75,66.0,0.9318181818181818,6.5,0.07386363636363637,0,1,30
Lang,14,75%,Fastazi-S,0.75,66.0,0.0,NA,NA,30,0,0
Lang,14,75%,Fastazi-P,0.75,66.0,0.0,NA,NA,30,0,0
Lang,14,75%,Random,0.75,66.0,0.4725378787878788,NA,NA,7,0,23
Lang,14,80%,Ekstazi,0.7954545454545456,70.0,0.4606060606060606,NA,NA,8,0,22
Lang,14,80%,FAST,0.7954545454545456,70.0,0.0,NA,NA,30,0,0
Lang,14,80%,Ekstazi+dpt,0.7954545454545456,70.0,0.931060606060606,6.566666666666666,0.07462121212121213,0,1,30
Lang,14,80%,DPT,0.7954545454545456,70.0,0.9325757575757575,6.433333333333334,0.07310606060606059,0,1,30
Lang,14,80%,STARTS,0.7954545454545456,70.0,0.4268939393939395,NA,NA,6,0,24
Lang,14,80%,STARTS+FAST-S,0.7954545454545456,70.0,0.4181818181818182,51.7,0.5875000000000001,0,1,30
Lang,14,80%,STARTS+FAST-P,0.7954545454545456,70.0,0.37613636363636366,55.4,0.6295454545454546,0,1,30
Lang,14,80%,STARTS+DPT,0.7954545454545456,70.0,0.9318181818181818,6.5,0.07386363636363637,0,1,30
Lang,14,80%,Fastazi-S,0.7954545454545456,70.0,0.0,NA,NA,30,0,0
Lang,14,80%,Fastazi-P,0.7954545454545456,70.0,0.0,NA,NA,30,0,0
Lang,14,80%,Random,0.7954545454545456,70.0,0.5043560606060605,NA,NA,3,0,27
Lang,14,90%,Ekstazi,0.8977272727272732,79.0,0.48977272727272714,NA,NA,2,0,28
Lang,14,90%,FAST,0.8977272727272732,79.0,0.1837121212121212,72.33333333333333,0.8219696969696966,0,1,30
Lang,14,90%,Ekstazi+dpt,0.8977272727272732,79.0,0.931060606060606,6.566666666666666,0.07462121212121213,0,1,30
Lang,14,90%,DPT,0.8977272727272732,79.0,0.9325757575757575,6.433333333333334,0.07310606060606059,0,1,30
Lang,14,90%,STARTS,0.8977272727272732,79.0,0.44109848484848496,NA,NA,3,0,27
Lang,14,90%,STARTS+FAST-S,0.8977272727272732,79.0,0.4181818181818182,51.7,0.5875000000000001,0,1,30
Lang,14,90%,STARTS+FAST-P,0.8977272727272732,79.0,0.37613636363636366,55.4,0.6295454545454546,0,1,30
Lang,14,90%,STARTS+DPT,0.8977272727272732,79.0,0.9318181818181818,6.5,0.07386363636363637,0,1,30
Lang,14,90%,Fastazi-S,0.8977272727272732,79.0,0.19583333333333341,71.26666666666667,0.8098484848484852,0,1,30
Lang,14,90%,Fastazi-P,0.8977272727272732,79.0,0.19507575757575765,71.33333333333333,0.8106060606060609,0,1,30
Lang,14,90%,Random,0.8977272727272732,79.0,0.5166666666666666,43.03333333333333,0.4890151515151515,0,1,30
Lang,14,100%,Ekstazi,0.9886363636363634,87.0,0.4950757575757575,44.93333333333333,0.5106060606060607,0,1,30
Lang,14,100%,FAST,1.0,88.0,0.1837121212121212,72.33333333333333,0.8219696969696966,0,1,30
Lang,14,100%,Ekstazi+dpt,0.9886363636363634,87.0,0.931060606060606,6.566666666666666,0.07462121212121213,0,1,30
Lang,14,100%,DPT,1.0,88.0,0.9325757575757575,6.433333333333334,0.07310606060606059,0,1,30
Lang,14,100%,STARTS,1.0,88.0,0.44583333333333347,49.266666666666666,0.5598484848484848,0,1,30
Lang,14,100%,STARTS+FAST-S,1.0,88.0,0.4181818181818182,51.7,0.5875000000000001,0,1,30
Lang,14,100%,STARTS+FAST-P,1.0,88.0,0.37613636363636366,55.4,0.6295454545454546,0,1,30
Lang,14,100%,STARTS+DPT,1.0,88.0,0.9318181818181818,6.5,0.07386363636363637,0,1,30
Lang,14,100%,Fastazi-S,0.9886363636363634,87.0,0.19583333333333341,71.26666666666667,0.8098484848484852,0,1,30
Lang,14,100%,Fastazi-P,0.9886363636363634,87.0,0.19507575757575765,71.33333333333333,0.8106060606060609,0,1,30
Lang,14,100%,Random,1.0,88.0,0.5166666666666666,43.03333333333333,0.4890151515151515,0,1,30
Lang,15,10%,Ekstazi,0.09090909090909087,8.0,0.1581439393939394,NA,NA,25,0,5
Lang,15,10%,FAST,0.09090909090909087,8.0,0.38674242424242433,NA,NA,18,0,12
Lang,15,10%,Ekstazi+dpt,0.09090909090909087,8.0,0.0,NA,NA,30,0,0
Lang,15,10%,DPT,0.09090909090909087,8.0,0.0,NA,NA,30,0,0
Lang,15,10%,STARTS,0.09090909090909087,8.0,0.09450757575757576,NA,NA,27,0,3
