Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Lang,14,1,70%,STARTS+FAST-P,61,0.3693181818181818,56,0.6363636363636364
Lang,14,1,70%,STARTS+DPT,61,0.9375000000000001,6,0.06818181818181818
Lang,14,1,70%,Fastazi-S,61,0.0,NA,NA
Lang,14,1,70%,Fastazi-P,61,0.0,NA,NA
Lang,14,1,70%,Random,61,0.33522727272727276,59,0.6704545454545454
Lang,14,1,75%,Ekstazi,66,0.0,NA,NA
Lang,14,1,75%,FAST,66,0.0,NA,NA
Lang,14,1,75%,Ekstazi+dpt,66,0.9375000000000001,6,0.06818181818181818
Lang,14,1,75%,DPT,66,0.9261363636363636,7,0.07954545454545454
Lang,14,1,75%,STARTS,66,0.0,NA,NA
Lang,14,1,75%,STARTS+FAST-S,66,0.35795454545454547,57,0.6477272727272727
Lang,14,1,75%,STARTS+FAST-P,66,0.3693181818181818,56,0.6363636363636364
Lang,14,1,75%,STARTS+DPT,66,0.9375000000000001,6,0.06818181818181818
Lang,14,1,75%,Fastazi-S,66,0.0,NA,NA
Lang,14,1,75%,Fastazi-P,66,0.0,NA,NA
Lang,14,1,75%,Random,66,0.33522727272727276,59,0.6704545454545454
Lang,14,1,80%,Ekstazi,70,0.0,NA,NA
Lang,14,1,80%,FAST,70,0.0,NA,NA
Lang,14,1,80%,Ekstazi+dpt,70,0.9375000000000001,6,0.06818181818181818
Lang,14,1,80%,DPT,70,0.9261363636363636,7,0.07954545454545454
Lang,14,1,80%,STARTS,70,0.0,NA,NA
Lang,14,1,80%,STARTS+FAST-S,70,0.35795454545454547,57,0.6477272727272727
Lang,14,1,80%,STARTS+FAST-P,70,0.3693181818181818,56,0.6363636363636364
Lang,14,1,80%,STARTS+DPT,70,0.9375000000000001,6,0.06818181818181818
Lang,14,1,80%,Fastazi-S,70,0.0,NA,NA
Lang,14,1,80%,Fastazi-P,70,0.0,NA,NA
Lang,14,1,80%,Random,70,0.33522727272727276,59,0.6704545454545454
Lang,14,1,90%,Ekstazi,79,0.0,NA,NA
Lang,14,1,90%,FAST,79,0.18749999999999994,72,0.8181818181818182
Lang,14,1,90%,Ekstazi+dpt,79,0.9375000000000001,6,0.06818181818181818
Lang,14,1,90%,DPT,79,0.9261363636363636,7,0.07954545454545454
Lang,14,1,90%,STARTS,79,0.15340909090909088,75,0.8522727272727273
Lang,14,1,90%,STARTS+FAST-S,79,0.35795454545454547,57,0.6477272727272727
Lang,14,1,90%,STARTS+FAST-P,79,0.3693181818181818,56,0.6363636363636364
Lang,14,1,90%,STARTS+DPT,79,0.9375000000000001,6,0.06818181818181818
Lang,14,1,90%,Fastazi-S,79,0.1988636363636364,71,0.8068181818181818
Lang,14,1,90%,Fastazi-P,79,0.1988636363636364,71,0.8068181818181818
Lang,14,1,90%,Random,79,0.33522727272727276,59,0.6704545454545454
Lang,14,1,100%,Ekstazi,87,0.07386363636363641,82,0.9318181818181818
Lang,14,1,100%,FAST,88,0.18749999999999994,72,0.8181818181818182
Lang,14,1,100%,Ekstazi+dpt,87,0.9375000000000001,6,0.06818181818181818
Lang,14,1,100%,DPT,88,0.9261363636363636,7,0.07954545454545454
Lang,14,1,100%,STARTS,88,0.15340909090909088,75,0.8522727272727273
Lang,14,1,100%,STARTS+FAST-S,88,0.35795454545454547,57,0.6477272727272727
Lang,14,1,100%,STARTS+FAST-P,88,0.3693181818181818,56,0.6363636363636364
Lang,14,1,100%,STARTS+DPT,88,0.9375000000000001,6,0.06818181818181818
Lang,14,1,100%,Fastazi-S,87,0.1988636363636364,71,0.8068181818181818
Lang,14,1,100%,Fastazi-P,87,0.1988636363636364,71,0.8068181818181818
Lang,14,1,100%,Random,88,0.33522727272727276,59,0.6704545454545454
Lang,14,2,10%,Ekstazi,8,0.0,NA,NA
Lang,14,2,10%,FAST,8,0.0,NA,NA
Lang,14,2,10%,Ekstazi+dpt,8,0.9375000000000001,6,0.06818181818181818
Lang,14,2,10%,DPT,8,0.9261363636363636,7,0.07954545454545454
Lang,14,2,10%,STARTS,8,0.0,NA,NA
Lang,14,2,10%,STARTS+FAST-S,8,0.9943181818181819,1,0.011363636363636364
Lang,14,2,10%,STARTS+FAST-P,8,0.0,NA,NA
Lang,14,2,10%,STARTS+DPT,8,0.9261363636363636,7,0.07954545454545454
Lang,14,2,10%,Fastazi-S,8,0.0,NA,NA
Lang,14,2,10%,Fastazi-P,8,0.0,NA,NA
Lang,14,2,10%,Random,8,0.9261363636363636,7,0.07954545454545454
Lang,14,2,20%,Ekstazi,17,0.0,NA,NA
Lang,14,2,20%,FAST,17,0.0,NA,NA
Lang,14,2,20%,Ekstazi+dpt,17,0.9375000000000001,6,0.06818181818181818
Lang,14,2,20%,DPT,17,0.9261363636363636,7,0.07954545454545454
Lang,14,2,20%,STARTS,17,0.0,NA,NA
Lang,14,2,20%,STARTS+FAST-S,17,0.9943181818181819,1,0.011363636363636364
Lang,14,2,20%,STARTS+FAST-P,17,0.0,NA,NA
Lang,14,2,20%,STARTS+DPT,17,0.9261363636363636,7,0.07954545454545454
Lang,14,2,20%,Fastazi-S,17,0.0,NA,NA
Lang,14,2,20%,Fastazi-P,17,0.0,NA,NA
Lang,14,2,20%,Random,17,0.9261363636363636,7,0.07954545454545454
Lang,14,2,25%,Ekstazi,22,0.7784090909090909,20,0.22727272727272727
Lang,14,2,25%,FAST,22,0.0,NA,NA
Lang,14,2,25%,Ekstazi+dpt,22,0.9375000000000001,6,0.06818181818181818
Lang,14,2,25%,DPT,22,0.9261363636363636,7,0.07954545454545454
Lang,14,2,25%,STARTS,22,0.0,NA,NA
Lang,14,2,25%,STARTS+FAST-S,22,0.9943181818181819,1,0.011363636363636364
Lang,14,2,25%,STARTS+FAST-P,22,0.0,NA,NA
Lang,14,2,25%,STARTS+DPT,22,0.9261363636363636,7,0.07954545454545454
Lang,14,2,25%,Fastazi-S,22,0.0,NA,NA
Lang,14,2,25%,Fastazi-P,22,0.0,NA,NA
Lang,14,2,25%,Random,22,0.9261363636363636,7,0.07954545454545454
Lang,14,2,30%,Ekstazi,26,0.7784090909090909,20,0.22727272727272727
Lang,14,2,30%,FAST,26,0.0,NA,NA
Lang,14,2,30%,Ekstazi+dpt,26,0.9375000000000001,6,0.06818181818181818
Lang,14,2,30%,DPT,26,0.9261363636363636,7,0.07954545454545454
Lang,14,2,30%,STARTS,26,0.0,NA,NA
Lang,14,2,30%,STARTS+FAST-S,26,0.9943181818181819,1,0.011363636363636364
Lang,14,2,30%,STARTS+FAST-P,26,0.0,NA,NA
Lang,14,2,30%,STARTS+DPT,26,0.9261363636363636,7,0.07954545454545454
Lang,14,2,30%,Fastazi-S,26,0.0,NA,NA
Lang,14,2,30%,Fastazi-P,26,0.0,NA,NA
Lang,14,2,30%,Random,26,0.9261363636363636,7,0.07954545454545454
Lang,14,2,40%,Ekstazi,35,0.7784090909090909,20,0.22727272727272727
Lang,14,2,40%,FAST,35,0.0,NA,NA
Lang,14,2,40%,Ekstazi+dpt,35,0.9375000000000001,6,0.06818181818181818
Lang,14,2,40%,DPT,35,0.9261363636363636,7,0.07954545454545454
Lang,14,2,40%,STARTS,35,0.0,NA,NA
Lang,14,2,40%,STARTS+FAST-S,35,0.9943181818181819,1,0.011363636363636364
Lang,14,2,40%,STARTS+FAST-P,35,0.0,NA,NA
Lang,14,2,40%,STARTS+DPT,35,0.9261363636363636,7,0.07954545454545454
Lang,14,2,40%,Fastazi-S,35,0.0,NA,NA
Lang,14,2,40%,Fastazi-P,35,0.0,NA,NA
Lang,14,2,40%,Random,35,0.9261363636363636,7,0.07954545454545454
Lang,14,2,50%,Ekstazi,44,0.7784090909090909,20,0.22727272727272727
Lang,14,2,50%,FAST,44,0.0,NA,NA
Lang,14,2,50%,Ekstazi+dpt,44,0.9375000000000001,6,0.06818181818181818
Lang,14,2,50%,DPT,44,0.9261363636363636,7,0.07954545454545454
Lang,14,2,50%,STARTS,44,0.0,NA,NA
Lang,14,2,50%,STARTS+FAST-S,44,0.9943181818181819,1,0.011363636363636364
Lang,14,2,50%,STARTS+FAST-P,44,0.0,NA,NA
Lang,14,2,50%,STARTS+DPT,44,0.9261363636363636,7,0.07954545454545454
Lang,14,2,50%,Fastazi-S,44,0.0,NA,NA
Lang,14,2,50%,Fastazi-P,44,0.0,NA,NA
Lang,14,2,50%,Random,44,0.9261363636363636,7,0.07954545454545454
Lang,14,2,60%,Ekstazi,52,0.7784090909090909,20,0.22727272727272727
Lang,14,2,60%,FAST,52,0.0,NA,NA
Lang,14,2,60%,Ekstazi+dpt,52,0.9375000000000001,6,0.06818181818181818
Lang,14,2,60%,DPT,52,0.9261363636363636,7,0.07954545454545454
Lang,14,2,60%,STARTS,52,0.43749999999999994,50,0.5681818181818182
Lang,14,2,60%,STARTS+FAST-S,52,0.9943181818181819,1,0.011363636363636364
Lang,14,2,60%,STARTS+FAST-P,52,0.0,NA,NA
Lang,14,2,60%,STARTS+DPT,52,0.9261363636363636,7,0.07954545454545454
Lang,14,2,60%,Fastazi-S,52,0.0,NA,NA
