Project, Version, Budget, Suite, RelBudget, Test count, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Codec,11,25%,Fastazi-S,0.23684210526315777,9.0,0.0,NA,NA,30,0,0
Codec,11,25%,Fastazi-P,0.23684210526315777,9.0,0.03289473684210527,NA,NA,29,0,1
Codec,11,25%,Random,0.23684210526315777,9.0,0.26184210526315793,NA,NA,21,0,9
Codec,11,30%,Ekstazi,0.28947368421052644,11.0,0.2342105263157895,NA,NA,22,0,8
Codec,11,30%,FAST,0.28947368421052644,11.0,0.03289473684210527,NA,NA,29,0,1
Codec,11,30%,Ekstazi+dpt,0.28947368421052644,11.0,0.0,NA,NA,30,0,0
Codec,11,30%,DPT,0.28947368421052644,11.0,0.0,NA,NA,30,0,0
Codec,11,30%,STARTS,0.28947368421052644,11.0,0.37149122807017554,NA,NA,17,0,13
Codec,11,30%,STARTS+FAST-S,0.28947368421052644,11.0,0.09692982456140352,NA,NA,27,0,3
Codec,11,30%,STARTS+FAST-P,0.28947368421052644,11.0,0.0649122807017544,NA,NA,28,0,2
Codec,11,30%,STARTS+DPT,0.28947368421052644,11.0,0.0,NA,NA,30,0,0
Codec,11,30%,Fastazi-S,0.28947368421052644,11.0,0.0,NA,NA,30,0,0
Codec,11,30%,Fastazi-P,0.28947368421052644,11.0,0.03289473684210527,NA,NA,29,0,1
Codec,11,30%,Random,0.28947368421052644,11.0,0.26184210526315793,NA,NA,21,0,9
Codec,11,40%,Ekstazi,0.3947368421052632,15.0,0.30043859649122806,NA,NA,19,0,11
Codec,11,40%,FAST,0.3947368421052632,15.0,0.03289473684210527,NA,NA,29,0,1
Codec,11,40%,Ekstazi+dpt,0.3947368421052632,15.0,0.0,NA,NA,30,0,0
Codec,11,40%,DPT,0.3947368421052632,15.0,0.0,NA,NA,30,0,0
Codec,11,40%,STARTS,0.3947368421052632,15.0,0.5219298245614036,NA,NA,10,0,20
Codec,11,40%,STARTS+FAST-S,0.3947368421052632,15.0,0.09692982456140352,NA,NA,27,0,3
Codec,11,40%,STARTS+FAST-P,0.3947368421052632,15.0,0.0649122807017544,NA,NA,28,0,2
Codec,11,40%,STARTS+DPT,0.3947368421052632,15.0,0.0,NA,NA,30,0,0
