Project,Version,Suite,Test count,APFDf,TTFF,pTTFF,Test time,Test time / Test count,ApproachTime,TTFF (seconds),TTFF Total,ApproachTime / total.exec.time (%)
Cli,12,DPT,22,0.793939393939394,5.03333333333333,0.228787878787879,12.04,0.547272727272727,5.50033333333333,2.75460606060606,8.2549393939394,45.6838316722037
Cli,12,Ekstazi,22,0.512121212121212,11.2333333333333,0.51060606060606,12.04,0.547272727272727,5.5,6.14769696969697,11.647696969697,45.6810631229236
Cli,12,Ekstazi+dpt,22,0.792424242424243,5.06666666666667,0.23030303030303,12.04,0.547272727272727,5.50033333333333,2.77284848484849,8.27318181818182,45.6838316722037
Cli,12,FAST,22,0.334848484848485,15.1333333333333,0.687878787878788,12.04,0.547272727272727,0.246,8.28206060606061,8.52806060606061,2.04318936877076
Cli,12,Ekstazi+FAST,22,0.351515151515152,14.7666666666667,0.671212121212121,12.04,0.547272727272727,5.50566666666667,8.08139393939394,13.5870606060606,45.7281284606866
Cli,12,Random,22,0.459090909090909,12.4,0.563636363636364,12.04,0.547272727272727,,6.78618181818182,6.78618181818182,0
Cli,12,STARTS,22,0.506060606060606,11.3666666666667,0.516666666666667,12.04,0.547272727272727,9.23,6.22066666666667,15.4506666666667,76.6611295681063
Cli,12,STARTS+DPT,22,0.81060606060606,4.66666666666667,0.212121212121212,12.04,0.547272727272727,14.7306666666667,2.55393939393939,17.2846060606061,122.347729789591
Cli,12,STARTS+FAST-S,22,0.493939393939394,11.6333333333333,0.528787878787879,12.04,0.547272727272727,9.237,6.36660606060606,15.6036060606061,76.71926910299
Cli,13,DPT,53,0.742767295597484,14.1333333333333,0.266666666666667,16.16,0.304905660377358,5.02033333333333,4.30933333333333,9.32966666666667,31.0664191419142
Cli,13,Ekstazi,53,0.50251572327044,26.8666666666667,0.506918238993711,16.16,0.304905660377358,5.02,8.19179874213837,13.2117987421384,31.0643564356436
Cli,13,Ekstazi+dpt,53,0.747169811320755,13.9,0.262264150943396,16.16,0.304905660377358,5.02066666666667,4.23818867924528,9.25885534591195,31.0684818481848
Cli,13,FAST,53,0.584276729559749,22.5333333333333,0.425157232704403,16.16,0.304905660377358,1.24366666666667,6.87054088050315,8.11420754716981,7.69595709570959
Cli,13,Ekstazi+FAST,53,0.638993710691824,19.6333333333333,0.370440251572327,16.16,0.304905660377358,5.03166666666667,5.98631446540881,11.0179811320755,31.1365511551155
Cli,13,Random,53,0.534591194968554,25.1666666666667,0.474842767295598,16.16,0.304905660377358,,7.67345911949686,7.67345911949686,0
Cli,13,STARTS,53,0.444654088050314,29.9333333333333,0.564779874213837,16.16,0.304905660377358,9.66,9.1268427672956,18.7868427672956,59.7772277227723
Cli,13,STARTS+DPT,53,0.742138364779874,14.1666666666667,0.267295597484277,16.16,0.304905660377358,14.6803333333333,4.31949685534591,18.9998301886792,90.8436468646863
Cli,13,STARTS+FAST-S,53,0.359748427672956,34.4333333333333,0.649685534591195,16.16,0.304905660377358,9.67833333333333,10.4989182389937,20.177251572327,59.8906765676567
Cli,14,DPT,55,0.749090909090909,14.3,0.26,15.06,0.273818181818182,5.87066666666667,3.9156,9.78626666666667,38.9818503762727
Cli,14,Ekstazi,55,0.666666666666666,18.8333333333333,0.342424242424242,15.06,0.273818181818182,5.87,5.15690909090909,11.0269090909091,38.9774236387782
Cli,14,Ekstazi+dpt,55,0.743636363636364,14.6,0.265454545454545,15.06,0.273818181818182,5.87033333333333,3.99774545454545,9.86807878787879,38.9796370075254
Cli,14,FAST,55,0.418181818181818,32.5,0.590909090909091,15.06,0.273818181818182,0.214333333333333,8.89909090909091,9.11342424242424,1.423196104471
Cli,14,Ekstazi+FAST,55,0.576363636363636,23.8,0.432727272727273,15.06,0.273818181818182,5.87966666666667,6.51687272727273,12.3965393939394,39.041611332448
Cli,14,Random,55,0.533333333333333,26.1666666666667,0.475757575757576,15.06,0.273818181818182,,7.16490909090909,7.16490909090909,0
Cli,14,STARTS,55,0.553939393939394,25.0333333333333,0.455151515151515,15.06,0.273818181818182,10.24,6.85458181818182,17.0945818181818,67.9946879150066
Cli,14,STARTS+DPT,55,0.746060606060606,14.4666666666667,0.263030303030303,15.06,0.273818181818182,16.1103333333333,3.96123636363636,20.0715696969697,106.974324922532
Cli,14,STARTS+FAST-S,55,0.476363636363636,29.3,0.532727272727273,15.06,0.273818181818182,10.255,8.02287272727273,18.2778727272727,68.0942895086321
Cli,15,DPT,56,0.601190476190476,22.8333333333333,0.407738095238095,15.4,0.275,5.66066666666667,6.27916666666667,11.9398333333333,36.7575757575758
Cli,15,Ekstazi,56,0.750595238095238,14.4666666666667,0.258333333333333,15.4,0.275,5.66,3.97833333333333,9.63833333333333,36.7532467532468
Cli,15,Ekstazi+dpt,56,0.633333333333333,21.0333333333333,0.375595238095238,15.4,0.275,5.66033333333333,5.78416666666667,11.4445,36.7554112554112
Cli,15,FAST,56,0.410714285714286,33.5,0.598214285714286,15.4,0.275,0.0953333333333333,9.2125,9.30783333333333,0.619047619047619
Cli,15,Ekstazi+FAST,56,0.841666666666666,9.36666666666667,0.167261904761905,15.4,0.275,5.66833333333333,2.57583333333333,8.24416666666667,36.8073593073593
Cli,15,Random,56,0.5125,27.8,0.496428571428571,15.4,0.275,,7.645,7.645,0
Cli,15,STARTS,56,0.549404761904762,25.7333333333333,0.45952380952381,15.4,0.275,10.84,7.07666666666667,17.9166666666667,70.3896103896104
Cli,15,STARTS+DPT,56,0.604761904761905,22.6333333333333,0.404166666666667,15.4,0.275,16.5006666666667,6.22416666666667,22.7248333333333,107.147186147186
Cli,15,STARTS+FAST-S,56,0.751785714285714,14.4,0.257142857142857,15.4,0.275,10.8526666666667,3.96,14.8126666666667,70.4718614718617
Cli,16,DPT,57,0.985380116959064,1.33333333333333,0.0233918128654971,15.71,0.275614035087719,5.65066666666667,0.367485380116959,6.01815204678363,35.9685974962869
Cli,16,Ekstazi,57,0.903508771929825,6,0.105263157894737,15.71,0.275614035087719,5.65,1.65368421052632,7.30368421052632,35.964353914704
Cli,16,Ekstazi+dpt,57,0.989473684210526,1.1,0.0192982456140351,15.71,0.275614035087719,5.65066666666667,0.303175438596491,5.95384210526316,35.9685974962869
Cli,16,FAST,57,0.946198830409357,3.56666666666667,0.0625730994152047,15.71,0.275614035087719,0.155,0.983023391812865,1.13802339181287,0.986632718014004
Cli,16,Ekstazi+FAST,57,0.967836257309941,2.33333333333333,0.0409356725146199,15.71,0.275614035087719,5.661,0.643099415204678,6.30409941520468,36.0343730108211
Cli,16,Random,57,0.835087719298246,9.9,0.173684210526316,15.71,0.275614035087719,,2.72857894736842,2.72857894736842,0
Cli,16,STARTS,57,0.869005847953216,7.96666666666667,0.139766081871345,15.71,0.275614035087719,9.09,2.19572514619883,11.2857251461988,57.8612348822406
Cli,16,STARTS+DPT,57,0.988304093567251,1.16666666666667,0.0204678362573099,15.71,0.275614035087719,14.7403333333333,0.321549707602339,15.0618830409357,93.8277105877358
Cli,16,STARTS+FAST-S,57,0.933918128654971,4.26666666666667,0.0748538011695907,15.71,0.275614035087719,9.104,1.17595321637427,10.2799532163743,57.9503500954806
Cli,17,DPT,23,0.865217391304348,3.6,0.156521739130435,13.41,0.58304347826087,5.42066666666667,2.09895652173913,7.5196231884058,40.422570221228
Cli,17,Ekstazi,23,0.544927536231884,10.9666666666667,0.476811594202899,13.41,0.58304347826087,5.42,6.39404347826087,11.8140434782609,40.4175988068605
Cli,17,Ekstazi+dpt,23,0.872463768115942,3.43333333333333,0.149275362318841,13.41,0.58304347826087,5.42066666666667,2.00178260869565,7.42244927536232,40.422570221228
Cli,17,FAST,23,0.0855072463768117,21.5333333333333,0.936231884057971,13.41,0.58304347826087,0.287333333333333,12.5548695652174,12.8422028985507,2.14267959234402
Cli,17,Ekstazi+FAST,23,0.0652173913043478,22,0.956521739130434,13.41,0.58304347826087,5.42733333333333,12.8269565217391,18.2542898550725,40.4722843649018
Cli,17,Random,23,0.581159420289855,10.1333333333333,0.440579710144927,13.41,0.58304347826087,,5.90817391304348,5.90817391304348,0
Cli,17,STARTS,23,0.453623188405797,13.0666666666667,0.568115942028986,13.41,0.58304347826087,9.2,7.6184347826087,16.8184347826087,68.6055182699478
Cli,17,STARTS+DPT,23,0.869565217391305,3.5,0.152173913043478,13.41,0.58304347826087,14.6203333333333,2.04065217391304,16.6609855072464,109.025602783992
