Project, Version, Suite, Time
Jsoup,2,Selection,5.29
Jsoup,2,sel_time_starts,8.77
Jsoup,2,Full prioritization,0.005
Jsoup,2,prio_p_time_starts,0.005333333333333333
Jsoup,2,Sel. prioritization,0.004666666666666666
Jsoup,2,prio_s_time_starts,0.004666666666666667
Jsoup,2,FAST preparation,0.08
Jsoup,2,fast_prep_time_starts,0.07
Jsoup,2,Build time,24.75
Jsoup,2,build_time_starts,23.89
Jsoup,2,Test time,25.47
Jsoup,2,test_time_starts,22.139999999999997
Jsoup,2,DPTT_time,0.0006666666666666666
Jsoup,2,DPTT_ekstazi_time,0.0006666666666666666
Jsoup,2,DPTT_time_starts,0.0006666666666666666
Jsoup,2,DPT,5.290666666666667
Jsoup,2,DPT_TIME,5.290666666666667
Jsoup,2,FAST,0.085
Jsoup,2,fast_time_starts,0.07533333333333334
Jsoup,2,Fastazi-S,5.294666666666667
Jsoup,2,fastazi_s_time_starts,8.774666666666667
Jsoup,2,FAST_T_starts,0.07533333333333334
Jsoup,2,DPTT_ekstazi_t,5.290666666666667
Jsoup,2,DPTT_t_starts,14.060666666666666
Jsoup,3,Selection,5.2
Jsoup,3,sel_time_starts,8.81
Jsoup,3,Full prioritization,0.004666666666666667
Jsoup,3,prio_p_time_starts,0.005
Jsoup,3,Sel. prioritization,0.004333333333333333
Jsoup,3,prio_s_time_starts,0.004333333333333333
Jsoup,3,FAST preparation,0.17
Jsoup,3,fast_prep_time_starts,0.16
Jsoup,3,Build time,25.2
Jsoup,3,build_time_starts,24.599999999999998
Jsoup,3,Test time,24.28
Jsoup,3,test_time_starts,22.07
Jsoup,3,DPTT_time,0.0006666666666666666
Jsoup,3,DPTT_ekstazi_time,0.0003333333333333333
Jsoup,3,DPTT_time_starts,0.0003333333333333333
Jsoup,3,DPT,5.200666666666667
Jsoup,3,DPT_TIME,5.200666666666667
Jsoup,3,FAST,0.1746666666666667
Jsoup,3,fast_time_starts,0.165
Jsoup,3,Fastazi-S,5.2043333333333335
Jsoup,3,fastazi_s_time_starts,8.814333333333334
Jsoup,3,FAST_T_starts,0.165
Jsoup,3,DPTT_ekstazi_t,5.200333333333334
Jsoup,3,DPTT_t_starts,14.010333333333335
Jsoup,4,Selection,5.32
Jsoup,4,sel_time_starts,8.690000000000001
Jsoup,4,Full prioritization,0.005333333333333333
Jsoup,4,prio_p_time_starts,0.005
Jsoup,4,Sel. prioritization,0.005333333333333333
Jsoup,4,prio_s_time_starts,0.005000000000000001
Jsoup,4,FAST preparation,0.32
Jsoup,4,fast_prep_time_starts,0.31
Jsoup,4,Build time,26.02
Jsoup,4,build_time_starts,26.900000000000002
Jsoup,4,Test time,25.67
Jsoup,4,test_time_starts,22.49
Jsoup,4,DPTT_time,0.0006666666666666666
Jsoup,4,DPTT_ekstazi_time,0.0006666666666666666
Jsoup,4,DPTT_time_starts,0.0003333333333333333
Jsoup,4,DPT,5.320666666666667
Jsoup,4,DPT_TIME,5.320666666666667
Jsoup,4,FAST,0.32533333333333336
Jsoup,4,fast_time_starts,0.315
Jsoup,4,Fastazi-S,5.325333333333334
Jsoup,4,fastazi_s_time_starts,8.695000000000002
Jsoup,4,FAST_T_starts,0.315
Jsoup,4,DPTT_ekstazi_t,5.320666666666667
Jsoup,4,DPTT_t_starts,14.010333333333335
Jsoup,5,Selection,5.37
Jsoup,5,sel_time_starts,8.7
Jsoup,5,Full prioritization,0.005666666666666667
Jsoup,5,prio_p_time_starts,0.005333333333333333
Jsoup,5,Sel. prioritization,0.004333333333333333
Jsoup,5,prio_s_time_starts,0.005000000000000001
Jsoup,5,FAST preparation,0.09
Jsoup,5,fast_prep_time_starts,0.1
Jsoup,5,Build time,27.06
Jsoup,5,build_time_starts,25.93
Jsoup,5,Test time,25.95
Jsoup,5,test_time_starts,22.98
Jsoup,5,DPTT_time,0.0006666666666666666
Jsoup,5,DPTT_ekstazi_time,0.0006666666666666666
