Project, Version, Iteration, Suite, Test count, APFDf, TTFF, pTTFF
Gson,1,1,Ekstazi,77,0.532051282051282,37,0.47435897435897434
Gson,1,1,FAST,78,0.967948717948718,3,0.038461538461538464
Gson,1,1,Ekstazi+dpt,77,0.7371794871794872,21,0.2692307692307692
Gson,1,1,DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,1,STARTS,78,0.7243589743589743,22,0.28205128205128205
Gson,1,1,STARTS+FAST-S,78,0.9166666666666666,7,0.08974358974358974
Gson,1,1,STARTS+FAST-P,78,0.9807692307692307,2,0.02564102564102564
Gson,1,1,STARTS+DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,1,Fastazi-S,77,0.967948717948718,3,0.038461538461538464
Gson,1,1,Fastazi-P,77,0.967948717948718,3,0.038461538461538464
Gson,1,1,Random,78,0.3653846153846153,50,0.6410256410256411
Gson,1,2,Ekstazi,77,0.019230769230769183,77,0.9871794871794872
Gson,1,2,FAST,78,0.967948717948718,3,0.038461538461538464
Gson,1,2,Ekstazi+dpt,77,0.7371794871794872,21,0.2692307692307692
Gson,1,2,DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,2,STARTS,78,0.9423076923076923,5,0.0641025641025641
Gson,1,2,STARTS+FAST-S,78,0.9551282051282051,4,0.05128205128205128
Gson,1,2,STARTS+FAST-P,78,0.967948717948718,3,0.038461538461538464
Gson,1,2,STARTS+DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,2,Fastazi-S,77,0.967948717948718,3,0.038461538461538464
Gson,1,2,Fastazi-P,77,0.967948717948718,3,0.038461538461538464
Gson,1,2,Random,78,0.5705128205128205,34,0.4358974358974359
Gson,1,3,Ekstazi,77,0.4807692307692307,41,0.5256410256410257
Gson,1,3,FAST,78,0.967948717948718,3,0.038461538461538464
Gson,1,3,Ekstazi+dpt,77,0.7371794871794872,21,0.2692307692307692
Gson,1,3,DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,3,STARTS,78,0.6346153846153846,29,0.3717948717948718
Gson,1,3,STARTS+FAST-S,78,0.967948717948718,3,0.038461538461538464
Gson,1,3,STARTS+FAST-P,78,0.9551282051282051,4,0.05128205128205128
Gson,1,3,STARTS+DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,3,Fastazi-S,77,0.967948717948718,3,0.038461538461538464
Gson,1,3,Fastazi-P,77,0.967948717948718,3,0.038461538461538464
Gson,1,3,Random,78,0.1987179487179487,63,0.8076923076923077
Gson,1,4,Ekstazi,77,0.2628205128205128,58,0.7435897435897436
Gson,1,4,FAST,78,0.967948717948718,3,0.038461538461538464
Gson,1,4,Ekstazi+dpt,77,0.7371794871794872,21,0.2692307692307692
Gson,1,4,DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,4,STARTS,78,0.5705128205128205,34,0.4358974358974359
Gson,1,4,STARTS+FAST-S,78,0.9551282051282051,4,0.05128205128205128
Gson,1,4,STARTS+FAST-P,78,0.967948717948718,3,0.038461538461538464
Gson,1,4,STARTS+DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,4,Fastazi-S,77,0.967948717948718,3,0.038461538461538464
Gson,1,4,Fastazi-P,77,0.967948717948718,3,0.038461538461538464
Gson,1,4,Random,78,0.8782051282051282,10,0.1282051282051282
Gson,1,5,Ekstazi,77,0.2628205128205128,58,0.7435897435897436
Gson,1,5,FAST,78,0.967948717948718,3,0.038461538461538464
Gson,1,5,Ekstazi+dpt,77,0.7371794871794872,21,0.2692307692307692
Gson,1,5,DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,5,STARTS,78,0.3141025641025641,54,0.6923076923076923
Gson,1,5,STARTS+FAST-S,78,0.967948717948718,3,0.038461538461538464
Gson,1,5,STARTS+FAST-P,78,0.9551282051282051,4,0.05128205128205128
Gson,1,5,STARTS+DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,5,Fastazi-S,77,0.967948717948718,3,0.038461538461538464
Gson,1,5,Fastazi-P,77,0.967948717948718,3,0.038461538461538464
Gson,1,5,Random,78,0.6602564102564102,27,0.34615384615384615
Gson,1,6,Ekstazi,77,0.3141025641025641,54,0.6923076923076923
Gson,1,6,FAST,78,0.967948717948718,3,0.038461538461538464
Gson,1,6,Ekstazi+dpt,77,0.7371794871794872,21,0.2692307692307692
Gson,1,6,DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,6,STARTS,78,0.7756410256410255,18,0.23076923076923078
Gson,1,6,STARTS+FAST-S,78,0.967948717948718,3,0.038461538461538464
Gson,1,6,STARTS+FAST-P,78,0.967948717948718,3,0.038461538461538464
Gson,1,6,STARTS+DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,6,Fastazi-S,77,0.967948717948718,3,0.038461538461538464
Gson,1,6,Fastazi-P,77,0.967948717948718,3,0.038461538461538464
Gson,1,6,Random,78,0.9423076923076923,5,0.0641025641025641
Gson,1,7,Ekstazi,77,0.3141025641025641,54,0.6923076923076923
Gson,1,7,FAST,78,0.967948717948718,3,0.038461538461538464
Gson,1,7,Ekstazi+dpt,77,0.7371794871794872,21,0.2692307692307692
Gson,1,7,DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,7,STARTS,78,0.7243589743589743,22,0.28205128205128205
Gson,1,7,STARTS+FAST-S,78,0.9423076923076923,5,0.0641025641025641
Gson,1,7,STARTS+FAST-P,78,0.967948717948718,3,0.038461538461538464
Gson,1,7,STARTS+DPT,78,0.7371794871794872,21,0.2692307692307692
Gson,1,7,Fastazi-S,77,0.967948717948718,3,0.038461538461538464
Gson,1,7,Fastazi-P,77,0.967948717948718,3,0.038461538461538464
Gson,1,7,Random,78,0.4294871794871795,45,0.5769230769230769
Gson,1,8,Ekstazi,77,0.4423076923076923,44,0.5641025641025641
Gson,1,8,FAST,78,0.967948717948718,3,0.038461538461538464
