Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Gson,1,1,60%,Fastazi-S,46,0.967948717948718,3,0.038461538461538464
Gson,1,1,60%,Fastazi-P,46,0.967948717948718,3,0.038461538461538464
Gson,1,1,60%,Random,46,0.0,NA,NA
Gson,1,1,70%,Ekstazi,53,0.532051282051282,37,0.47435897435897434
Gson,1,1,70%,FAST,53,0.967948717948718,3,0.038461538461538464
Gson,1,1,70%,Ekstazi+dpt,53,0.7371794871794872,21,0.2692307692307692
Gson,1,1,70%,DPT,53,0.7371794871794872,21,0.2692307692307692
Gson,1,1,70%,STARTS,53,0.7243589743589743,22,0.28205128205128205
Gson,1,1,70%,STARTS+FAST-S,53,0.9166666666666666,7,0.08974358974358974
Gson,1,1,70%,STARTS+FAST-P,53,0.9807692307692307,2,0.02564102564102564
Gson,1,1,70%,STARTS+DPT,53,0.7371794871794872,21,0.2692307692307692
Gson,1,1,70%,Fastazi-S,53,0.967948717948718,3,0.038461538461538464
Gson,1,1,70%,Fastazi-P,53,0.967948717948718,3,0.038461538461538464
Gson,1,1,70%,Random,53,0.3653846153846153,50,0.6410256410256411
Gson,1,1,75%,Ekstazi,57,0.532051282051282,37,0.47435897435897434
Gson,1,1,75%,FAST,57,0.967948717948718,3,0.038461538461538464
Gson,1,1,75%,Ekstazi+dpt,57,0.7371794871794872,21,0.2692307692307692
Gson,1,1,75%,DPT,57,0.7371794871794872,21,0.2692307692307692
Gson,1,1,75%,STARTS,57,0.7243589743589743,22,0.28205128205128205
Gson,1,1,75%,STARTS+FAST-S,57,0.9166666666666666,7,0.08974358974358974
Gson,1,1,75%,STARTS+FAST-P,57,0.9807692307692307,2,0.02564102564102564
Gson,1,1,75%,STARTS+DPT,57,0.7371794871794872,21,0.2692307692307692
Gson,1,1,75%,Fastazi-S,57,0.967948717948718,3,0.038461538461538464
Gson,1,1,75%,Fastazi-P,57,0.967948717948718,3,0.038461538461538464
Gson,1,1,75%,Random,57,0.3653846153846153,50,0.6410256410256411
Gson,1,1,80%,Ekstazi,61,0.532051282051282,37,0.47435897435897434
Gson,1,1,80%,FAST,61,0.967948717948718,3,0.038461538461538464
Gson,1,1,80%,Ekstazi+dpt,61,0.7371794871794872,21,0.2692307692307692
Gson,1,1,80%,DPT,61,0.7371794871794872,21,0.2692307692307692
Gson,1,1,80%,STARTS,61,0.7243589743589743,22,0.28205128205128205
Gson,1,1,80%,STARTS+FAST-S,61,0.9166666666666666,7,0.08974358974358974
Gson,1,1,80%,STARTS+FAST-P,61,0.9807692307692307,2,0.02564102564102564
Gson,1,1,80%,STARTS+DPT,61,0.7371794871794872,21,0.2692307692307692
Gson,1,1,80%,Fastazi-S,61,0.967948717948718,3,0.038461538461538464
Gson,1,1,80%,Fastazi-P,61,0.967948717948718,3,0.038461538461538464
Gson,1,1,80%,Random,61,0.3653846153846153,50,0.6410256410256411
Gson,1,1,90%,Ekstazi,69,0.532051282051282,37,0.47435897435897434
Gson,1,1,90%,FAST,69,0.967948717948718,3,0.038461538461538464
